site_name,site_id,buffer_m,year,image_count,qa_flag,mean_ndvi,mean_ndmi,mean_ndbi,mean_ndti,mean_savi,mean_bsi,bare_pct,mining_soil_pct,non_mining_soil_pct,valid_px_pct
El Porvenir,El Porvenir_00000000000000000023,1000,1985,8,ok,0.3343260900438392,-0.055499559998045005,0.055499559998045005,0.13296784800608877,0.21660161845229595,0.12823579077000244,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1986,8,ok,0.34848999775405964,-0.04542070152962047,0.04542070152962047,0.12383520634371029,0.22303278062576154,0.11800839758378716,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1989,9,ok,0.3818096569577386,-0.027455424750811544,0.027455424750811544,0.09339226968954606,0.23886222090161707,0.09324543959364766,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1990,2,ok,0.2697389656422131,-0.034466544328892165,0.034466544328892165,0.09344164245693048,0.19251788006557594,0.09428879810324159,0.0,0.0,32.92311755936448,32.92311755936448
El Porvenir,El Porvenir_00000000000000000023,1000,1991,5,ok,0.4920974684785743,0.06466280279747884,-0.06466280279747884,0.0249743360807472,0.2925034741323578,0.00044958774682295243,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1992,10,ok,0.2885375430810518,-0.0832828852790352,0.0832828852790352,0.10728332537799738,0.17993526511826327,0.1390600938552842,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1993,15,ok,0.3577577828541365,-0.020672733492197365,0.020672733492197365,0.11357007785134772,0.23241323361807353,0.09855897025353806,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1994,15,ok,0.34881196820470634,-0.009515263920046185,0.009515263920046185,0.09113053451898401,0.22114957058144652,0.06635346043817576,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1995,15,ok,0.37791829371469304,-0.028461322207586466,0.028461322207586466,0.11044278589226236,0.23127092072430416,0.10041777344629679,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1996,15,ok,0.45611553112510206,-0.004151680485915962,0.004151680485915962,0.07517978864903624,0.2638409518037774,0.05991780583640113,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1997,15,ok,0.37187183901910875,-0.03696225013630282,0.03696225013630282,0.08123393646776655,0.22236279481724222,0.09156921955174475,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1998,15,ok,0.43250578627390524,0.0035189874649592064,-0.0035189874649592064,0.09329340805303446,0.26350085568767745,0.06454174328759327,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,1999,15,ok,0.43060285165898665,-0.0291076011316024,0.0291076011316024,0.10269838129519035,0.24716425073451867,0.08648486852978579,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2000,15,ok,0.3313122270691679,-0.047380050780898,0.047380050780898,0.13128881232694478,0.21306063056009542,0.11756443083195461,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2001,6,ok,0.5150661560720633,0.025496616686371053,-0.025496616686371053,0.06270211314322961,0.29049645774465155,0.03130898655804512,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2002,5,ok,0.43504412899898115,0.032038118311868945,-0.032038118311868945,0.11445524806883714,0.265155039078368,0.045102022296875155,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2003,9,ok,0.4413888521572018,-0.009723942214928371,0.009723942214928371,0.13660342668324932,0.25942267063912433,0.08056180619560849,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2004,15,ok,0.529521544532187,0.06981166206918674,-0.06981166206918674,0.041788187856591885,0.3032991578175923,-0.012997955344090205,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2005,15,ok,0.3687579242794777,-0.04331090934879933,0.04331090934879933,0.14937138915923728,0.22671501698080324,0.1152409534183399,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2006,14,ok,0.48289085103859475,0.019902788411689968,-0.019902788411689968,0.08481863595208063,0.28169212145194716,0.04214195678419015,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2007,13,ok,0.4551078404056164,0.00423406320401711,-0.00423406320401711,0.10269175363450288,0.2689628750188025,0.06265674503513302,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2008,15,ok,0.3817816378717675,-0.03450720946744097,0.03450720946744097,0.15627426776271136,0.2342158804554211,0.10652165787578002,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2009,15,ok,0.485477513769081,-0.011831850076104102,0.011831850076104102,0.09650891838142378,0.26740144102538166,0.06501888783520607,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2010,15,ok,0.41926271866802733,-0.05112490248883113,0.05112490248883113,0.09515827475501765,0.24040014958831937,0.1055111939879154,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2011,15,ok,0.45810895474597196,0.004508873999707471,-0.004508873999707471,0.09531077686832079,0.26509716891953566,0.05800818514443385,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2012,15,ok,0.4642267920356647,0.010426859760307973,-0.010426859760307973,0.11585003039773599,0.2716547877345954,0.06026009300692236,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2013,15,ok,0.46938552847499027,-0.010528731414897264,0.010528731414897264,0.12464644462495639,0.2798354336507152,0.08152174376863348,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2014,15,ok,0.6154784915930986,0.12699356516972057,-0.12699356516972057,0.03963012805893221,0.3618016184327577,-0.05959630194637676,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2015,15,ok,0.5757311720460395,0.09370624825670355,-0.09370624825670355,0.06498963449554762,0.3363761034964483,-0.023271283404816365,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2016,15,ok,0.5201375278093047,0.0329001466969092,-0.0329001466969092,0.10088544293070804,0.2958632814312095,0.03762888662718066,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2017,15,ok,0.446752720127886,0.004580832545652713,-0.004580832545652713,0.1438918128079113,0.277998246612815,0.07395383645992855,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2018,15,ok,0.4756504136179562,0.014219137382105288,-0.014219137382105288,0.11847768353322216,0.2826445198506965,0.05524701903596871,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2019,15,ok,0.42664762368535364,-0.006362879579371109,0.006362879579371109,0.14083840372512293,0.25677458656326396,0.07526235357101013,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2020,15,ok,0.5431140268198675,0.04470572087064648,-0.04470572087064648,0.07728249508965658,0.3152878078498535,0.019587383472611117,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2021,15,ok,0.5352337866663864,0.08355981664568825,-0.08355981664568825,0.11315350012843255,0.3200051741134964,-0.0025381468840191585,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2022,15,ok,0.6052496433356611,0.08074847663393886,-0.08074847663393886,0.03621119615414439,0.34355341192770955,-0.018586700566071222,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2023,15,ok,0.6336402633502585,0.12553629408294953,-0.12553629408294953,0.028515705408259092,0.36522407716125765,-0.06150592375397923,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2024,15,ok,0.587389588387425,0.08263157272712307,-0.08263157272712307,0.045656997264201464,0.34019885650780773,-0.013752228135835817,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,1000,2025,15,ok,0.6200354752046656,0.11150813615176171,-0.11150813615176171,0.0368273311293765,0.35312491977844396,-0.04585546369012832,0.0,0.0,99.61579175877188,99.61579175877188
El Porvenir,El Porvenir_00000000000000000023,2000,1984,4,ok,0.3117806064583235,-0.05974250039793716,0.05974250039793716,0.1364034695721456,0.20654058061169026,0.13310173456178045,0.28002544373989513,0.28002544373989513,99.33971874997276,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1985,8,ok,0.3489513875580621,-0.05189108506633309,0.05189108506633309,0.12438339116335498,0.21813357229949448,0.12200677592574372,0.14001215780672235,0.14001215780672235,99.47973203590594,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1986,8,ok,0.3628009945177025,-0.04321627077648927,0.04321627077648927,0.11490709967133779,0.22396014241627382,0.11188662658368634,0.08400734268941427,0.08400734268941427,99.53573685102326,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1989,9,ok,0.3881925861571562,-0.025897459979178163,0.025897459979178163,0.08896668933249882,0.2366382945991003,0.09071264888647806,0.39203400825505597,0.39203400825505597,99.2277101854576,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1990,2,ok,0.27801881091670116,-0.04071086296465379,0.04071086296465379,0.09671593504021744,0.1935294003762051,0.10074682558266282,0.22402044380187072,0.22402044380187072,34.72847232590335,34.95249276970521
El Porvenir,El Porvenir_00000000000000000023,2000,1991,5,ok,0.49994851864637835,0.0747652184675697,-0.0747652184675697,0.01736602412609723,0.29422396579213106,-0.008925921517534682,0.0,0.0,99.61974419371266,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1992,10,ok,0.29926148270921044,-0.08190947115167262,0.08190947115167262,0.10070670890130769,0.18003882589644477,0.13575429095267574,0.30802884981047124,0.30802884981047124,99.3117153439022,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1993,15,ok,0.3719092247449537,-0.019500082581793733,0.019500082581793733,0.1066214636237534,0.23351940273681754,0.09405220786994925,0.30802691279335315,0.30802691279335315,99.3117172809193,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1994,15,ok,0.3579891463866457,-0.003810723976077886,0.003810723976077886,0.08210111000204563,0.22001152130861504,0.060404816820436046,0.2800260078031203,0.2800260078031203,99.33971818590953,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1995,15,ok,0.3875497359408402,-0.02362163641094164,0.02362163641094164,0.10308944767896937,0.22947672176321135,0.0950720679485538,0.4480393850353202,0.4480393850353202,99.17170480867733,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1996,15,ok,0.4629190808725327,0.007059104971998528,-0.007059104971998528,0.06815877782578277,0.26323225435067443,0.049896186194322664,0.19601728495900606,0.19601728495900606,99.42372690875366,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1997,15,ok,0.3759292041716652,-0.034667780480439364,0.034667780480439364,0.07746683347511663,0.219522716701667,0.0884810401698723,0.14001272186994757,0.14001272186994757,99.4797314718427,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1998,15,ok,0.4352234498078576,0.010142372123824427,-0.010142372123824427,0.08429577194828956,0.2606956045573754,0.05770587228162508,1.100009362117536,1.100009362117536,98.51973483159514,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,1999,15,ok,0.42848169718610735,-0.02405137413289685,0.02405137413289685,0.09443137935299428,0.24247761848454924,0.0807122728287143,0.8120757358641592,0.8120757358641592,98.80766845784851,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2000,15,ok,0.33280181009248144,-0.0466326449551862,0.0466326449551862,0.12453220796888562,0.20834456873545878,0.11449016190274348,0.9319939158534207,0.9319939158534207,98.68775027785925,99.61974419371263
